target_city,priority,assigned_pilot,assigned_aircraft,distance,weather_conditions,pilot_skill,aircraft_speed,fuel_capacity,mission_fit_score
Damascus,5,John Doe,Fighter Jet,463.64045875784797,Clear,8,1500,3000,0
Beirut,4,John Doe,Fighter Jet,415.72849416593107,Clear,8,1500,3000,0
Amman,3,John Doe,Fighter Jet,390.1637287412529,Clear,8,1500,3000,0
Cairo,3,John Doe,Fighter Jet,201.95901286025176,Clear,8,1500,3000,0
Baghdad,5,John Doe,Fighter Jet,1191.2819032577597,Clear,8,1500,3000,0
Tehran,4,John Doe,Fighter Jet,1859.2355657612743,Clouds,8,1500,3000,0
Riyadh,3,John Doe,Fighter Jet,1662.0823516140424,Clear,8,1500,3000,0
Tripoli,2,John Doe,Fighter Jet,1751.0069634215297,Clouds,8,1500,3000,0
Ankara,4,John Doe,Fighter Jet,908.4406467300851,Clear,8,1500,3000,0
Khartoum,3,John Doe,Fighter Jet,1806.5038966206735,Clouds,8,1500,3000,0
Gaza,5,John Doe,Fighter Jet,253.93592162554287,Clear,8,1500,3000,0
Sanaa,2,John Doe,Fighter Jet,2218.9775030061282,Rain,8,1500,3000,0
Manama,2,John Doe,Fighter Jet,1925.9274117692805,Clear,8,1500,3000,0
Kuwait City,3,John Doe,Fighter Jet,1570.128797124295,Clear,8,1500,3000,0
Doha,4,John Doe,Fighter Jet,2054.894201862133,Clear,8,1500,3000,0
Damascus,5,Jane Smith,Fighter Jet,463.64045875784797,Clear,6,1500,3000,0
Beirut,4,Jane Smith,Fighter Jet,415.72849416593107,Clear,6,1500,3000,0
Amman,3,Jane Smith,Fighter Jet,390.1637287412529,Clear,6,1500,3000,0
Cairo,3,Jane Smith,Fighter Jet,201.95901286025176,Clear,6,1500,3000,0
Baghdad,5,Jane Smith,Fighter Jet,1191.2819032577597,Clear,6,1500,3000,0
Tehran,4,Jane Smith,Fighter Jet,1859.2355657612743,Clouds,6,1500,3000,0
Riyadh,3,Jane Smith,Fighter Jet,1662.0823516140424,Clear,6,1500,3000,0
Tripoli,2,Jane Smith,Fighter Jet,1751.0069634215297,Clouds,6,1500,3000,0
Ankara,4,Jane Smith,Fighter Jet,908.4406467300851,Clear,6,1500,3000,0
Khartoum,3,Jane Smith,Fighter Jet,1806.5038966206735,Clouds,6,1500,3000,0
Gaza,5,Jane Smith,Fighter Jet,253.93592162554287,Clear,6,1500,3000,0
Sanaa,2,Jane Smith,Fighter Jet,2218.9775030061282,Rain,6,1500,3000,0
Manama,2,Jane Smith,Fighter Jet,1925.9274117692805,Clear,6,1500,3000,0
Kuwait City,3,Jane Smith,Fighter Jet,1570.128797124295,Clear,6,1500,3000,0
Doha,4,Jane Smith,Fighter Jet,2054.894201862133,Clear,6,1500,3000,0
Damascus,5,Michael Clark,Fighter Jet,463.64045875784797,Clear,9,1500,3000,0
Beirut,4,Michael Clark,Fighter Jet,415.72849416593107,Clear,9,1500,3000,0
Amman,3,Michael Clark,Fighter Jet,390.1637287412529,Clear,9,1500,3000,0
Cairo,3,Michael Clark,Fighter Jet,201.95901286025176,Clear,9,1500,3000,0
Baghdad,5,Michael Clark,Fighter Jet,1191.2819032577597,Clear,9,1500,3000,0
Tehran,4,Michael Clark,Fighter Jet,1859.2355657612743,Clouds,9,1500,3000,0
Riyadh,3,Michael Clark,Fighter Jet,1662.0823516140424,Clear,9,1500,3000,0
Tripoli,2,Michael Clark,Fighter Jet,1751.0069634215297,Clouds,9,1500,3000,0
Ankara,4,Michael Clark,Fighter Jet,908.4406467300851,Clear,9,1500,3000,0
Khartoum,3,Michael Clark,Fighter Jet,1806.5038966206735,Clouds,9,1500,3000,0
Gaza,5,Michael Clark,Fighter Jet,253.93592162554287,Clear,9,1500,3000,0
Sanaa,2,Michael Clark,Fighter Jet,2218.9775030061282,Rain,9,1500,3000,0
Manama,2,Michael Clark,Fighter Jet,1925.9274117692805,Clear,9,1500,3000,0
Kuwait City,3,Michael Clark,Fighter Jet,1570.128797124295,Clear,9,1500,3000,0
Doha,4,Michael Clark,Fighter Jet,2054.894201862133,Clear,9,1500,3000,0
Damascus,5,Alice Johnson,Fighter Jet,463.64045875784797,Clear,7,1500,3000,0
Beirut,4,Alice Johnson,Fighter Jet,415.72849416593107,Clear,7,1500,3000,0
Amman,3,Alice Johnson,Fighter Jet,390.1637287412529,Clear,7,1500,3000,0
Cairo,3,Alice Johnson,Fighter Jet,201.95901286025176,Clear,7,1500,3000,0
Baghdad,5,Alice Johnson,Fighter Jet,1191.2819032577597,Clear,7,1500,3000,0
Tehran,4,Alice Johnson,Fighter Jet,1859.2355657612743,Clouds,7,1500,3000,0
Riyadh,3,Alice Johnson,Fighter Jet,1662.0823516140424,Clear,7,1500,3000,0
Tripoli,2,Alice Johnson,Fighter Jet,1751.0069634215297,Clouds,7,1500,3000,0
Ankara,4,Alice Johnson,Fighter Jet,908.4406467300851,Clear,7,1500,3000,0
Khartoum,3,Alice Johnson,Fighter Jet,1806.5038966206735,Clouds,7,1500,3000,0
Gaza,5,Alice Johnson,Fighter Jet,253.93592162554287,Clear,7,1500,3000,0
Sanaa,2,Alice Johnson,Fighter Jet,2218.9775030061282,Rain,7,1500,3000,0
Manama,2,Alice Johnson,Fighter Jet,1925.9274117692805,Clear,7,1500,3000,0
Kuwait City,3,Alice Johnson,Fighter Jet,1570.128797124295,Clear,7,1500,3000,0
Doha,4,Alice Johnson,Fighter Jet,2054.894201862133,Clear,7,1500,3000,0
Damascus,5,Robert White,Fighter Jet,463.64045875784797,Clear,10,1500,3000,0
Beirut,4,Robert White,Fighter Jet,415.72849416593107,Clear,10,1500,3000,0
Amman,3,Robert White,Fighter Jet,390.1637287412529,Clear,10,1500,3000,0
Cairo,3,Robert White,Fighter Jet,201.95901286025176,Clear,10,1500,3000,0
Baghdad,5,Robert White,Fighter Jet,1191.2819032577597,Clear,10,1500,3000,0
Tehran,4,Robert White,Fighter Jet,1859.2355657612743,Clouds,10,1500,3000,0
Riyadh,3,Robert White,Fighter Jet,1662.0823516140424,Clear,10,1500,3000,0
Tripoli,2,Robert White,Fighter Jet,1751.0069634215297,Clouds,10,1500,3000,0
Ankara,4,Robert White,Fighter Jet,908.4406467300851,Clear,10,1500,3000,0
Khartoum,3,Robert White,Fighter Jet,1806.5038966206735,Clouds,10,1500,3000,0
Gaza,5,Robert White,Fighter Jet,253.93592162554287,Clear,10,1500,3000,0
Sanaa,2,Robert White,Fighter Jet,2218.9775030061282,Rain,10,1500,3000,0
Manama,2,Robert White,Fighter Jet,1925.9274117692805,Clear,10,1500,3000,0
Kuwait City,3,Robert White,Fighter Jet,1570.128797124295,Clear,10,1500,3000,0
Doha,4,Robert White,Fighter Jet,2054.894201862133,Clear,10,1500,3000,0
Damascus,5,Tom Cruise,Fighter Jet,463.64045875784797,Clear,9,1500,3000,0
Beirut,4,Tom Cruise,Fighter Jet,415.72849416593107,Clear,9,1500,3000,0
Amman,3,Tom Cruise,Fighter Jet,390.1637287412529,Clear,9,1500,3000,0
Cairo,3,Tom Cruise,Fighter Jet,201.95901286025176,Clear,9,1500,3000,0
Baghdad,5,Tom Cruise,Fighter Jet,1191.2819032577597,Clear,9,1500,3000,0
Tehran,4,Tom Cruise,Fighter Jet,1859.2355657612743,Clouds,9,1500,3000,0
Riyadh,3,Tom Cruise,Fighter Jet,1662.0823516140424,Clear,9,1500,3000,0
Tripoli,2,Tom Cruise,Fighter Jet,1751.0069634215297,Clouds,9,1500,3000,0
Ankara,4,Tom Cruise,Fighter Jet,908.4406467300851,Clear,9,1500,3000,0
Khartoum,3,Tom Cruise,Fighter Jet,1806.5038966206735,Clouds,9,1500,3000,0
Gaza,5,Tom Cruise,Fighter Jet,253.93592162554287,Clear,9,1500,3000,0
Sanaa,2,Tom Cruise,Fighter Jet,2218.9775030061282,Rain,9,1500,3000,0
Manama,2,Tom Cruise,Fighter Jet,1925.9274117692805,Clear,9,1500,3000,0
Kuwait City,3,Tom Cruise,Fighter Jet,1570.128797124295,Clear,9,1500,3000,0
Doha,4,Tom Cruise,Fighter Jet,2054.894201862133,Clear,9,1500,3000,0
Damascus,5,Chris Pratt,Fighter Jet,463.64045875784797,Clear,6,1500,3000,0
